id;team_name;short_code;is_national_team;team_logo;team_logo_content_type;team_id
1;Nigeria;Frozen Borders;true;../fake-data/blob/hipster.png;image/png;54534
2;holistic;Global Concrete;false;../fake-data/blob/hipster.png;image/png;26520
3;Devolved Borders;asymmetric Money Market Account;true;../fake-data/blob/hipster.png;image/png;41376
4;engage cutting-edge;vertical Nevada;false;../fake-data/blob/hipster.png;image/png;2797
5;Pennsylvania;Towels moratorium Ball;false;../fake-data/blob/hipster.png;image/png;13411
6;synthesize Buckinghamshire;invoice Senior Music;false;../fake-data/blob/hipster.png;image/png;32001
7;best-of-breed Architect invoice;Function-based Handmade Wooden Salad;false;../fake-data/blob/hipster.png;image/png;75278
8;Rustic;Integration Steel;false;../fake-data/blob/hipster.png;image/png;7730
9;Mouse Designer;orange Global Buckinghamshire;true;../fake-data/blob/hipster.png;image/png;67165
10;Bypass;invoice International Accountability;false;../fake-data/blob/hipster.png;image/png;44960
